,A,F,pe,ds,ec,beta,dl,du
254,72,3,0.01,0.001,0.001,0.3548705087748778,-0.9902533333333333,96.46666666666667
255,72,4,0.01,0.001,0.001,0.28210799906162254,-0.9901925,97.075
256,72,5,0.01,0.001,0.001,0.23553872937302284,-0.990156,97.44000000000001
257,72,6,0.01,0.001,0.001,0.2029700621204537,-0.9901316666666666,97.68333333333334
258,72,7,0.01,0.001,0.001,0.17881084134430017,-0.9901142857142857,97.85714285714286
259,72,8,0.01,0.001,0.001,0.1601197517080609,-0.99010125,97.9875
260,72,9,0.01,0.001,0.001,0.14519517513205737,-0.9900911111111111,98.08888888888889
261,72,10,0.01,0.001,0.001,0.13298129987984272,-0.990083,98.17
262,72,11,0.01,0.001,0.001,0.1227867823346047,-0.9900763636363636,98.23636363636363
263,72,12,0.01,0.001,0.001,0.11413915546024664,-0.9900708333333333,98.29166666666667
264,72,13,0.01,0.001,0.001,0.1067040948628179,-0.9900661538461538,98.33846153846154
265,72,14,0.01,0.001,0.001,0.10023808819619219,-0.9900621428571429,98.37857142857143
266,72,15,0.01,0.001,0.001,0.09455938597911168,-0.9900586666666666,98.41333333333333
267,72,16,0.01,0.001,0.001,0.08952947375320851,-0.990055625,98.44375
268,72,17,0.01,0.001,0.001,0.0850408615282702,-0.9900529411764706,98.47058823529412
269,72,18,0.01,0.001,0.001,0.08100880613390833,-0.9900505555555555,98.49444444444444
270,72,19,0.01,0.001,0.001,0.07736555994721897,-0.9900484210526316,98.51578947368421
271,72,20,0.01,0.001,0.001,0.07405628752035204,-0.9900465,98.535
272,72,21,0.01,0.001,0.001,0.07103611024817326,-0.9900447619047619,98.55238095238094
273,72,22,0.01,0.001,0.001,0.06826793049721906,-0.9900431818181818,98.56818181818183
274,72,23,0.01,0.001,0.001,0.06572080476906493,-0.9900417391304348,98.58260869565217
275,72,24,0.01,0.001,0.001,0.06336871033004571,-0.9900404166666666,98.59583333333333
276,75,2,0.01,0.001,0.001,0.48674976692399274,-0.99039,95.1
277,75,3,0.01,0.001,0.001,0.35479620688949903,-0.9902633333333334,96.36666666666667
278,75,4,0.01,0.001,0.001,0.28206646892298776,-0.9902,97.0
279,75,5,0.01,0.001,0.001,0.23551225069227757,-0.990162,97.38
